Start_Date,End_Date,Data_Used,timediff
2025-08-31,2025-08-31,120.98,0-0 0 0:17:53
2025-12-06,2025-12-06,40.39,0-0 0 0:4:35
2025-08-30,2025-08-30,137.21,0-0 0 0:16:37
2025-09-18,2025-09-18,17.04,0-0 0 0:2:19
2026-02-15,2026-02-15,12.84,0-0 0 0:4:13
2025-08-28,2025-08-28,230.75,0-0 0 0:26:30
2025-12-04,2025-12-04,4.73,0-0 0 0:0:52
2025-10-24,2025-10-24,36.31,0-0 0 0:3:12
2026-01-22,2026-01-22,17.45,0-0 0 0:3:18
2025-06-08,2025-06-08,4.9,0-0 0 0:0:34
2025-06-09,2025-06-09,0.74,0-0 0 0:1:5
2026-02-26,2026-02-26,20.54,0-0 0 -0:3:3
2025-10-19,2025-10-19,15.71,0-0 0 0:3:19
2026-02-04,2026-02-04,16.02,0-0 0 0:3:5
2025-05-12,2025-05-12,5.15,0-0 0 0:3:38
2025-09-22,2025-09-22,2.99,0-0 0 0:0:15
2025-09-06,2025-09-06,1.15,0-0 0 0:0:55
2025-10-12,2025-10-12,22.95,0-0 0 0:2:1
2026-04-24,2026-04-24,2.88,0-0 0 0:0:37
2025-07-03,2025-07-03,224.55,0-0 0 0:29:16
2026-03-18,2026-03-18,13.47,0-0 0 0:1:36
2025-05-20,2025-05-20,24.93,0-0 0 0:2:56
2025-07-25,2025-07-25,23.13,0-0 0 0:2:24
2025-10-23,2025-10-23,16.33,0-0 0 0:2:5
2025-11-05,2025-11-05,8.12,0-0 0 0:2:12
2026-03-18,2026-03-18,306.29,0-0 0 0:30:53
2025-11-25,2025-11-25,34.47,0-0 0 0:4:24
2025-06-03,2025-06-03,30.73,0-0 0 0:19:29
2026-05-08,2026-05-08,152.84,0-0 0 0:27:9
2025-07-27,2025-07-27,6.14,0-0 0 0:1:34
2026-04-10,2026-04-10,25.68,0-0 0 0:2:16
2025-09-13,2025-09-13,29.24,0-0 0 0:2:43
2026-01-18,2026-01-18,5.97,0-0 0 0:0:39
2026-03-15,2026-03-15,11.73,0-0 0 -0:0:24
2025-09-16,2025-09-16,24.9,0-0 0 0:4:59
2025-11-04,2025-11-04,6.88,0-0 0 0:0:54
2025-11-13,2025-11-13,31.82,0-0 0 0:3:28
2025-09-06,2025-09-06,16.29,0-0 0 0:1:39
2025-09-28,2025-09-28,7.19,0-0 0 0:0:53
2025-10-28,2025-10-28,22.73,0-0 0 0:2:41
2025-10-14,2025-10-14,91.6,0-0 0 0:10:4
2026-02-19,2026-02-19,5.03,0-0 0 0:0:47
2025-08-16,2025-08-16,21.43,0-0 0 0:2:24
2025-10-16,2025-10-16,10.42,0-0 0 0:13:44
2025-09-24,2025-09-24,7.84,0-0 0 0:2:15
2025-10-19,2025-10-19,97.69,0-0 0 0:8:25
2025-11-29,2025-11-29,90.0,0-0 0 0:8:21
2026-04-06,2026-04-06,6.64,0-0 0 0:2:12
2026-03-01,2026-03-01,0.84,0-0 0 0:0:36
2025-09-05,2025-09-05,33.62,0-0 0 0:3:55
2026-02-18,2026-02-18,14.73,0-0 0 0:2:17
2026-01-02,2026-01-02,408.76,0-0 0 1:2:38
2025-09-14,2025-09-14,147.89,0-0 0 0:28:44
2025-10-01,2025-10-01,5.29,0-0 0 0:2:11
2026-04-22,2026-04-22,140.5,0-0 0 0:24:58
